Slots,parallel_gather_sequential,parallel_gather_threaded_1,parallel_gather_threaded_2,parallel_gather_threaded_4,parallel_hierarchical_sequential,parallel_hierarchical_threaded_1,parallel_hierarchical_threaded_2,parallel_hierarchical_threaded_4
1,9.13250470161438,10.395861148834229,10.690607070922852,11.584335803985596,9.198782682418823,10.485210418701172,10.956995010375977,11.180917263031006
2,5.718374729156494,7.1084935665130615,6.508519172668457,6.884463310241699,6.775887489318848,6.4136061668396,6.571062803268433,6.9575042724609375
3,4.561403512954712,4.485141038894653,4.403698205947876,4.739064455032349,4.6263298988342285,4.620352029800415,4.523007392883301,4.906938791275024
4,4.77454400062561,4.7245612144470215,4.4243035316467285,4.925823926925659,4.089690923690796,4.019573450088501,4.4971442222595215,4.563629865646362
5,4.409574747085571,4.211561441421509,4.200385570526123,4.704360961914063,3.9128105640411377,3.734449625015259,4.0372841358184814,4.28835391998291
6,4.093059301376343,4.108592748641968,4.155585527420044,4.539007425308228,3.336595296859741,3.474281311035156,3.649543285369873,3.7791550159454346
7,4.216982364654541,4.043235301971436,3.9958512783050537,4.285868167877197,3.2849812507629395,3.146073341369629,3.211465358734131,3.525364875793457
8,4.27013373374939,4.260703086853027,4.2525365352630615,4.544887542724609,2.655843734741211,2.7925305366516118,2.836111307144165,3.5398855209350586
9,4.87445068359375,4.806495428085327,4.931422233581543,5.739458560943604,3.582344055175781,3.2496442794799805,3.1523170471191406,3.7636680603027344
10,5.073858261108398,5.17371940612793,5.484314203262329,5.69861364364624,3.5774052143096924,3.466062545776367,3.689648389816284,3.864511251449585
11,5.392342567443848,5.352710723876953,5.645279169082642,6.06882381439209,3.208512783050537,3.311233758926392,3.340299367904663,4.033017158508301
12,5.597795248031616,6.497981071472168,6.31273889541626,6.60615348815918,3.2919921875,3.561510801315308,3.1262478828430176,3.564683437347412
13,5.953159809112549,6.112176418304443,6.173995971679688,6.756394624710083,3.1761670112609863,2.850475788116455,3.295806646347046,3.3893284797668457
14,5.951995372772217,6.206042289733887,6.804497003555298,7.040064573287964,2.644505262374878,2.813458204269409,3.079466819763184,3.3389949798583984
15,6.414400815963745,6.554301738739014,6.739613056182861,7.111105680465698,2.6089508533477783,2.769305467605591,2.83351469039917,3.3152015209198
16,6.780951261520386,8.019829034805298,6.570511341094971,7.462489604949951,2.7606542110443115,2.806713581085205,2.9630157947540283,3.4807467460632324
17,6.321172475814819,7.133453845977783,6.920180320739746,7.175026178359985,2.908109426498413,3.221402406692505,3.275688886642456,3.6330406665802
18,6.469398498535156,7.002340078353882,7.190798759460449,8.38942003250122,3.241701126098633,3.1338276863098145,2.963379144668579,3.756139755249024
19,6.929483652114868,7.290826320648193,8.9244384765625,8.107747077941895,3.0087993144989014,2.729780673980713,2.9352121353149414,3.4719741344451904
20,7.45200514793396,7.414498090744018,7.820812702178955,8.953857421875,2.6733264923095703,2.7107045650482178,3.0055065155029297,3.4626357555389404
21,7.504183530807495,8.212707757949829,7.99135160446167,9.60229206085205,2.7005298137664795,2.638380765914917,2.7286360263824463,3.6523303985595694
22,8.302610635757446,8.99842095375061,9.514230012893677,9.089335680007936,2.9865145683288574,2.626173496246338,2.522059440612793,3.322228193283081
23,8.072080373764038,8.423749446868896,8.855618953704834,9.423135995864868,2.536289691925049,2.4660215377807617,2.531092405319214,3.1902570724487305
24,8.050511360168457,9.110034942626951,9.577386140823364,9.263120651245115,2.56143569946289,3.3387460708618164,2.7593135833740234,3.3225362300872803
